,lambda,P+ room,P- room,P+ low,P- low
0,460,-0.03056827404455631,-0.09439825111318183,-0.04622160093873968,-0.08597404389103055
1,530,-0.14068282976051835,-0.03526122270465187,-0.16691225466655896,-0.02322436581362191
2,620,-0.2024169547996716,0.07850778917408228,-0.21922815426993464,0.08942308476558104
3,710,-0.13623494879842027,0.1401065382684722,-0.14055254729913513,0.15596555991543296
4,810,0.041447764166965745,0.14371468810028945,0.059544625031307585,0.1483183872237632
5,920,0.30011343716678146,0.11395140028763702,0.3530342312971632,0.11473186838867144
6,1050,0.6564647000308262,0.08647321354532611,0.7516234846538532,0.08515469803715103
7,1200,0.9547729033842833,0.0795057396920156,1.0753800412112509,0.08719101681533414
8,1450,1.144786422691986,0.07438137906414954,1.2213280623435074,0.07962029911106144
